#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:m_cytB_mafft_nexus" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:m_cytB_mafft_nexus" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:m_cytB_mafft_nexus" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.m_cytB_mafft_nexus" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:m_cytB_mafft_nexus" name="distribution" x="@birthRate.t:m_cytB_mafft_nexus">
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@m_cytB_mafft_nexus" id="treeLikelihood.m_cytB_mafft_nexus" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:m_cytB_mafft_nexus">
#            <siteModel id="SiteModel.s:m_cytB_mafft_nexus" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:m_cytB_mafft_nexus" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:m_cytB_mafft_nexus" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:m_cytB_mafft_nexus" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:m_cytB_mafft_nexus" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:m_cytB_mafft_nexus" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:m_cytB_mafft_nexus" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-13063.55235328321	-13052.806474113873	-10.74587916933795	-13052.806474113873	1.1008315274748897	-3.830792528675115	1.0
1000	-9962.569058145948	-9954.871618466334	-7.697439679614382	-9954.871618466334	1.2799868718477758	0.2812098053911374	2.8942653401709113
2000	-9969.9592094363	-9959.987172121502	-9.972037314796655	-9959.987172121502	1.7035383933055057	-2.619593181475185	1.5484374126236677
3000	-9962.711427148139	-9954.162929847425	-8.548497300713429	-9954.162929847425	1.350531311246107	-0.4893833558846197	3.136269601418936
4000	-9970.570285631718	-9961.647147417409	-8.923138214310267	-9961.647147417409	1.548977232642939	-1.320941006475814	1.9873657367863051
5000	-9964.829371270793	-9956.744065367146	-8.085305903646688	-9956.744065367146	1.3608936884576368	-0.2866847738254519	2.418141685958244
6000	-9965.902973273074	-9956.423871629657	-9.479101643417156	-9956.423871629657	1.3775047258703106	-1.238312832392186	3.759428716114827
7000	-9966.83708932475	-9959.020816538408	-7.8162727863415356	-9959.020816538408	1.281152066534264	0.11786192684670294	2.768478501669816
8000	-9969.117096011782	-9956.894359475345	-12.222736536436134	-9956.894359475345	2.3826159477780715	-4.991734617067404	1.371437830190527
9000	-9972.597138829833	-9959.50535495702	-13.091783872812991	-9959.50535495702	1.391710143996617	-4.457308153308189	5.565241487311551
10000	-9966.64909790796	-9958.076390483451	-8.572707424509531	-9958.076390483451	1.425196614839549	-0.6222161507614299	2.814051351041129
11000	-9967.061148099223	-9960.030062763326	-7.031085335896331	-9960.030062763326	1.1678228813395128	0.8302348914447579	2.574369942257439
12000	-9966.383117021045	-9957.767099137902	-8.616017883143565	-9957.767099137902	1.3587778946528513	-0.47935018219353687	3.388586546895202
13000	-9965.130916681823	-9953.853644627503	-11.277272054320058	-9953.853644627503	1.438717670655486	-2.8735657854670933	4.422406062594524
14000	-9960.303110097855	-9950.271416474561	-10.031693623293181	-9950.271416474561	1.6898781512907917	-2.069874367790602	2.846051218357127
15000	-9965.405510601959	-9954.84297004515	-10.562540556807342	-9954.84297004515	1.9287383137791654	-3.1341193108099987	1.6705905588445522
16000	-9967.791063111761	-9955.209183494131	-12.581879617629543	-9955.209183494131	2.5340420745398697	-5.104024192607767	1.755188348396046
17000	-9960.21257921441	-9951.79469154049	-8.417887673920486	-9951.79469154049	1.390890007661712	-0.8835330366707339	1.8571255718842152
18000	-9963.750415012339	-9955.988698628018	-7.761716384319927	-9955.988698628018	1.3048127156414315	0.1071874670211912	2.5939360979527715
19000	-9961.119392497167	-9952.30020262641	-8.819189870757786	-9952.30020262641	1.3643629287889492	-1.4403518655382768	1.5898269324419279
20000	-9964.781492752525	-9955.922985952064	-8.858506800460418	-9955.922985952064	1.4906857962442281	-0.8977705252318993	2.8429763380043696
21000	-9964.455389523857	-9954.27710458758	-10.178284936277423	-9954.27710458758	1.6486870778951803	-2.1253534476820146	3.11698046089328
22000	-9969.677849853164	-9957.68095066694	-11.996899186225113	-9957.68095066694	1.902716999776756	-3.8945410878518825	3.2745586026593307
23000	-9961.291439638519	-9953.699676397368	-7.5917632411517815	-9953.699676397368	1.2472105561797249	0.3609967745056002	2.8204313478412275
24000	-9966.56878953925	-9958.81321254057	-7.755576998678513	-9958.81321254057	1.292429550683534	0.15358961320360986	2.700327378234492
25000	-9962.338364554786	-9954.24447053688	-8.093894017905978	-9954.24447053688	1.360578018022956	-0.4602728665063367	2.0507425972343816
26000	-9964.07928211796	-9955.919719498603	-8.159562619357326	-9955.919719498603	1.3308619611759314	-0.6184389475473351	1.8697282435472422
27000	-9965.634996068462	-9957.46460244981	-8.170393618650458	-9957.46460244981	1.2690129527301932	-0.03599092825663064	3.380938266894994
28000	-9960.877227005029	-9953.707623471975	-7.169603533053247	-9953.707623471975	1.1369538518534332	0.5066677393939738	2.1399991633144553
29000	-9965.881108273448	-9954.97440225023	-10.906706023218376	-9954.97440225023	1.8908824283277403	-3.016840276020229	2.6487939336398747
30000	-9961.561481247836	-9952.32664907476	-9.234832173076153	-9952.32664907476	1.5848861470564173	-1.7439905776122209	1.7781124756208755
31000	-9965.00694286782	-9956.630129544938	-8.376813322881528	-9956.630129544938	1.4112937160578223	-0.7413237339916021	2.0545738267060747
32000	-9961.905904222709	-9954.223261136247	-7.6826430864615	-9954.223261136247	1.2982146137956088	0.27296976272150975	2.8284743621074546
33000	-9969.309323687374	-9961.156254659714	-8.15306902765877	-9961.156254659714	1.3340805662364217	-0.61928935489615	1.856059010886818
34000	-9965.193313818	-9955.287565554767	-9.905748263233079	-9955.287565554767	1.5429462171448902	-2.6737652246460115	1.3727835334918355
35000	-9967.601489234734	-9959.912937354926	-7.688551879808813	-9959.912937354926	1.2639839754597446	0.12645252356120285	2.458027243184333
36000	-9970.892551940893	-9962.468304410275	-8.424247530618446	-9962.468304410275	1.260616104616029	-0.1603237801474826	3.8471679458789785
37000	-9963.104975806742	-9955.302752583619	-7.802223223123239	-9955.302752583619	1.1988115023664128	0.38783368988215017	3.573944891885546
38000	-9962.453937910663	-9953.199227713952	-9.254710196710736	-9953.199227713952	1.6421385779818278	-1.449733360032739	2.433537607892367
39000	-9965.023465661681	-9957.219366448078	-7.804099213603536	-9957.219366448078	1.2338317963965508	-0.17953596036096364	2.032270205188974
40000	-9965.099436463479	-9957.881151623458	-7.21828484001987	-9957.881151623458	1.1544306393376307	0.7154542845551717	2.767385471710597
41000	-9963.23139963652	-9955.436425131931	-7.794974504587419	-9955.436425131931	1.3262972997816458	-0.05068667665742321	2.290429826095031
42000	-9963.681367602609	-9953.193019754597	-10.488347848012012	-9953.193019754597	1.6188184980913354	-3.3446072973622982	1.2568714589448715
43000	-9966.345721432961	-9957.016946686996	-9.328774745965262	-9957.016946686996	1.4465492444316803	-1.188481777377314	3.4008639201196145
44000	-9961.973505046572	-9953.919116994115	-8.054388052456012	-9953.919116994115	1.3715546130907967	-0.31004431325708737	2.290557725455149
45000	-9969.27935936385	-9958.97485236189	-10.304507001961023	-9958.97485236189	1.5736389433796945	-3.147081337732225	1.274185492701712
46000	-9964.21116104249	-9956.150831327455	-8.060329715035898	-9956.150831327455	1.33327826015275	-0.04325317221079228	3.0074229905432657
47000	-9964.960515527066	-9957.663549932238	-7.296965594828168	-9957.663549932238	1.2249747246224714	0.6030437814521736	2.675754008115596
48000	-9969.021741106746	-9958.538269541228	-10.483471565517421	-9958.538269541228	1.5504881140113	-2.2050955406196984	3.9030102800411117
49000	-9962.871765447644	-9954.245922545684	-8.625842901960578	-9954.245922545684	1.4727874334070774	-0.729611781555481	2.665680197948813
50000	-9973.067675009725	-9960.472836426094	-12.59483858363118	-9960.472836426094	1.5244043033274182	-5.886842065878815	0.8129300901039369
51000	-9961.774526862986	-9952.820934098925	-8.953592764060808	-9952.820934098925	1.5309086259572573	-1.1558811383464471	2.415946485282747
52000	-9964.873617678879	-9953.894899681862	-10.978717997017547	-9953.894899681862	1.3381926383430818	-2.478900153010505	4.866849465182803
53000	-9961.555932785437	-9953.26773997082	-8.28819281461806	-9953.26773997082	1.3197246883689109	-0.20537095786642823	3.211347270030728
54000	-9964.238250221068	-9955.027851939974	-9.210398281092816	-9955.027851939974	1.4915187316195964	-1.8245687540540656	1.6009745288639277
55000	-9969.853867818283	-9961.727423178198	-8.126444640084882	-9961.727423178198	1.1317362789603391	-0.7254566519166357	1.625412608693365
56000	-9963.31342716184	-9954.90890827632	-8.404518885519993	-9954.90890827632	1.4204616973597113	-0.7261840507250099	2.1444146958618475
57000	-9964.658263479805	-9956.552534695415	-8.105728784390536	-9956.552534695415	1.387280659755117	-0.28849650249121783	2.463501528428804
58000	-9965.733257638862	-9957.522483870896	-8.210773767966149	-9957.522483870896	1.211070984570029	-0.7798912310456068	1.6747046618119779
59000	-9968.174527824765	-9959.750420675844	-8.424107148921774	-9959.750420675844	1.3363389885822232	-0.258798513807438	3.4867991955260362
60000	-9964.894350132043	-9955.601788521455	-9.292561610588153	-9955.601788521455	1.6425074398140695	-1.6059759743709732	2.162160477816635
61000	-9965.576696128399	-9953.216400352854	-12.360295775544666	-9953.216400352854	2.170167296284796	-4.504032000675171	2.5614058927346464
62000	-9964.92589946613	-9955.754263283192	-9.171636182938915	-9955.754263283192	1.5827480604132957	-1.5135770698238797	2.1014207537207534
63000	-9962.715471925005	-9953.41273247151	-9.302739453494485	-9953.41273247151	1.6234297940376874	-1.7002650753704236	1.9879161082235666
64000	-9964.49469687857	-9953.705828658969	-10.78886821960095	-9953.705828658969	1.8030540623007152	-2.7988572090208113	2.9272726940179847
65000	-9962.389558534538	-9954.682146445824	-7.707412088714016	-9954.682146445824	1.2825787518955496	0.06285264193206075	2.3506271032990647
66000	-9966.278743733294	-9957.675189396818	-8.60355433647642	-9957.675189396818	1.16504021582235	-0.1985340938409994	4.428200945318793
67000	-9964.624046639778	-9956.296168087305	-8.327878552473049	-9956.296168087305	1.2231970799637575	-0.9213705251404529	1.6344040800057498
68000	-9963.591504144211	-9956.351652420111	-7.2398517240997355	-9956.351652420111	1.2094262642880373	0.6031821490838718	2.5277934949192544
69000	-9966.569762418521	-9956.906175182123	-9.663587236398008	-9956.906175182123	1.5765856791088886	-1.6010748233919525	3.146923390818783
70000	-9964.375129159182	-9956.799558075983	-7.57557108319887	-9956.799558075983	1.2356612185571763	0.10141169418734908	2.141520588894283
71000	-9964.423363455593	-9953.00123500156	-11.422128454032656	-9953.00123500156	1.9987247989076768	-3.5267292526107523	2.6634671723891987
72000	-9963.016930395417	-9954.35276317569	-8.664167219726572	-9954.35276317569	1.2236834523177704	-0.29198811469484554	4.285606660869983
73000	-9968.030171198154	-9957.39793983198	-10.632231366172622	-9957.39793983198	1.9682363616818763	-3.0776917929236927	1.8949589401199876
74000	-9964.94499661555	-9957.97373289333	-6.971263722219411	-9957.97373289333	1.1611498837045497	0.8746305908832515	2.535023359850639
75000	-9964.352153993934	-9954.567454988986	-9.784699004947003	-9954.567454988986	1.491564621004454	-1.6203896765278039	3.483325182971973
76000	-9963.895231545133	-9955.72427717923	-8.17095436590441	-9955.72427717923	1.322939328052842	-0.6216072975335623	1.8851535631206677
77000	-9973.2644502424	-9959.971446674315	-13.293003568084178	-9959.971446674315	2.4184713591945792	-5.4559676890085935	2.512700060408865
78000	-9965.093780940697	-9956.80693162003	-8.286849320666942	-9956.80693162003	1.2431946330801218	-0.8408591018095848	1.7001800076664564
79000	-9963.727104443258	-9955.926062544568	-7.801041898690265	-9955.926062544568	1.3225536383908596	0.1284360265809683	2.7556388276115795
80000	-9969.28254805736	-9960.185672971013	-9.09687508634663	-9960.185672971013	1.4663920190029585	-1.0345964847192715	3.146189265989114
81000	-9960.864536009889	-9952.177604916718	-8.686931093169866	-9952.177604916718	1.4184703792087967	-0.671161490198406	3.0035028934104715
82000	-9961.592879143234	-9952.44046029521	-9.152418848022647	-9952.44046029521	1.4779922935589165	-1.090081630828731	3.1463732920770324
